timestamp,switch_id,table_id,cookie,priority,in_port,eth_src,eth_dst,out_port,packet_count,byte_count,duration_sec,duration_nsec,avg_pkt_size,pkt_rate,byte_rate,Label_multi,Label_binary
1752411348.946976,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411348.946976,0x1,,,0,,,,4294967293,65,5926,9,,91.16923076923077,7.222222222222222,658.4444444444445,normal,0
1752411349.955559,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:03,3,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:05,5,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:06,6,1,98,4,,98.0,0.25,24.5,normal,0
1752411349.955559,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:04,4,1,98,4,,98.0,0.25,24.5,normal,0
