timestamp,switch_id,table_id,cookie,priority,in_port,eth_src,eth_dst,out_port,packet_count,byte_count,duration_sec,duration_nsec,avg_pkt_size,pkt_rate,byte_rate,Label_multi,Label_binary
1752305133.642623,0x1,,,0,,,,4294967293,30,2676,4,,89.2,7.5,669.0,normal,0
1752305134.647079,0x1,,,0,,,,4294967293,30,2676,4,,89.2,7.5,669.0,normal,0
1752305135.651282,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,1.0,00:00:00:00:00:01,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:01,1,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:03,3,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,4.0,00:00:00:00:00:04,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:05,5,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,5.0,00:00:00:00:00:05,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,2.0,00:00:00:00:00:02,00:00:00:00:00:06,6,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,6.0,00:00:00:00:00:06,00:00:00:00:00:02,2,1,98,1,,98.0,1.0,98.0,normal,0
1752305135.651282,0x1,,,1,3.0,00:00:00:00:00:03,00:00:00:00:00:04,4,1,98,1,,98.0,1.0,98.0,normal,0
